"","country","total_co2","perc_change_since_1990","co2_per_capita","co2_per_km_sq"
"168","Saint Vincent and the Grenadines","0.24","195.4151","2.180335","612.8535"
"169","Samoa","0.23","88.21171","1.252174","82.58966"
"170","Sao Tome and Principe","0.1","115.304","0.588047","106.5353"
"171","Saudi Arabia","520.28","138.7163","18.07245","242.0245"
"172","Senegal","7.86","146.8866","0.588336","39.94876"
"173","Serbia","49.19",NA,"5.450593","556.6426"
"174","Seychelles","0.6","425.6816","6.371389","1323.32"
"175","Sierra Leone","0.9","131.1294","0.152042","12.426"
"176","Singapore","22.39","-52.2928","4.31436","31351.53"
"177","Slovakia","37.23","-39.757","6.880596","759.3031"
"178","Slovenia","16.18","9.369254","7.857076","798.0023"
"179","Solomon Islands","0.2","22.75263","0.368271","6.852159"
"180","Somalia","0.58","3045.902","0.058705","0.902836"
"181","South Africa","477.24","49.23345","9.136038","390.8495"
"182","Spain","280.92","23.47816","6.014398","555.192"
"183","Sri Lanka","15.23","293.7421","0.7498","232.1704"
"184","State of Palestine","2.25",NA,"0.537629","373.4053"
"185","Suriname","1.91","5.465084","3.6499","11.66219"
"186","Swaziland","1.05","146.5444","0.86502","60.40431"
"187","Sweden","48.48","-15.1551","5.123726","107.6683"
"188","Switzerland","41.85","-6.25391","5.279913","1013.627"
"189","Syrian Arab Republic","57.67","53.98987","2.813054","311.4316"
"190","Tajikistan","2.78",NA,"0.358954","19.45003"
"191","Thailand","303.37","216.5607","4.534492","591.228"
"192","The former Yugoslav Republic of Macedonia","9.34",NA,"4.519219","363.0926"
"193","Timor-Leste","0.18",NA,"0.170193","12.29305"
"194","Togo","2.1","171.0999","0.31944","36.93757"
"195","Tonga","0.1","33.37662","0.983792","137.4833"
"196","Trinidad and Tobago","49.57","192.3024","37.14007","9663.587"
"197","Tunisia","25.64","93.28344","2.383457","156.7343"
"198","Turkey","345.73","144.2316","4.70278","441.2341"
"199","Turkmenistan","62.22",NA,"12.18367","127.4698"
"200","Turks and Caicos Islands","0.19",NA,"6.010653","201.1115"
"201","Uganda","3.8","373.042","0.110886","15.72759"
"202","Ukraine","306.53","-57.6075","6.740325","507.9278"
"203","United Arab Emirates","178.48","243.1782","20.43384","2134.975"
"204","United Kingdom of Great Britain and Northern Ireland","464.04","-21.5492","7.346418","1913.59"
"205","United Republic of Tanzania","7.3","207.7345","0.154935","7.725215"
"206","United States of America","  5 583.38","9.465021","17.87308","579.8449"
"207","Uruguay","7.77","94.67121","2.296189","44.11656"
"208","Uzbekistan","114.86",NA,"4.079117","256.7309"
"209","Vanuatu","0.14","105.165","0.591212","11.73189"
"210","Venezuela (Bolivarian Republic of)","188.82","54.5627","6.416334","207.0254"
"211","Viet Nam","173.21","709.0971","1.939174","523.3632"
"212","Wallis and Futuna Islands","0.03",NA,"1.910781","180.9859"
"213","Yemen","22.3","-843.279","0.919969","42.2287"
"214","Zambia","3.05","24.58809","0.212451","4.048965"
"215","Zimbabwe","9.86","-36.4","0.6917","25.23461"
