Country,CO2 emissions ,,% change since 1990,,CO2 emissions per capita,,CO2 emissions per km2
,mio. tonnes ,,%,,tonnes,,tonnes
Saint Pierre and Miquelon,0.07,,-23.9913,,11.10934,,288.0165
Saint Vincent and the Grenadines,0.24,,195.4151,,2.180335,,612.8535
Samoa,0.23,,88.21171,,1.252174,,82.58966
Sao Tome and Principe,0.1,,115.304,,0.588047,,106.5353
Saudi Arabia,520.28,,138.7163,,18.07245,,242.0245
Senegal,7.86,,146.8866,,0.588336,,39.94876
Serbia,49.19,,...,,5.450593,,556.6426
Seychelles,0.6,,425.6816,,6.371389,,1323.32
Sierra Leone,0.9,,131.1294,,0.152042,,12.426
Singapore,22.39,,-52.2928,,4.31436,,31351.53
Slovakia,37.23,,-39.757,,6.880596,,759.3031
Slovenia,16.18,,9.369254,,7.857076,,798.0023
Solomon Islands,0.2,,22.75263,,0.368271,,6.852159
Somalia,0.58,,3045.902,,0.058705,,0.902836
South Africa,477.24,,49.23345,,9.136038,,390.8495
Spain,280.92,,23.47816,,6.014398,,555.192
Sri Lanka,15.23,,293.7421,,0.7498,,232.1704
State of Palestine,2.25,,...,,0.537629,,373.4053
Suriname,1.91,,5.465084,,3.6499,,11.66219
Swaziland,1.05,,146.5444,,0.86502,,60.40431
Sweden,48.48,,-15.1551,,5.123726,,107.6683
Switzerland,41.85,,-6.25391,,5.279913,,1013.627
Syrian Arab Republic,57.67,,53.98987,,2.813054,,311.4316
Tajikistan,2.78,,...,,0.358954,,19.45003
Thailand,303.37,,216.5607,,4.534492,,591.228
The former Yugoslav Republic of Macedonia,9.34,,...,,4.519219,,363.0926
Timor-Leste,0.18,,...,,0.170193,,12.29305
Togo,2.1,,171.0999,,0.31944,,36.93757
Tonga,0.1,,33.37662,,0.983792,,137.4833
Trinidad and Tobago,49.57,,192.3024,,37.14007,,9663.587
Tunisia,25.64,,93.28344,,2.383457,,156.7343
Turkey,345.73,,144.2316,,4.70278,,441.2341
Turkmenistan,62.22,,...,,12.18367,,127.4698
Turks and Caicos Islands,0.19,,...,,6.010653,,201.1115
Uganda,3.8,,373.042,,0.110886,,15.72759
Ukraine,306.53,,-57.6075,,6.740325,,507.9278
United Arab Emirates,178.48,,243.1782,,20.43384,,2134.975
