,Country,year,Average Temp in C
530,Aruba,2000,28.1
531,Bahrain,2010,28.1
532,Benin,1998,28.1
533,Benin,2006,28.1
534,Benin,2007,28.1
535,Benin,2011,28.1
536,"Bonaire, Saint Eustatius And Saba",2002,28.1
537,"Bonaire, Saint Eustatius And Saba",2003,28.1
538,"Bonaire, Saint Eustatius And Saba",2005,28.1
539,"Bonaire, Saint Eustatius And Saba",2006,28.1
540,"Bonaire, Saint Eustatius And Saba",2009,28.1
541,Burkina Faso,1910,28.1
542,Burkina Faso,1920,28.1
543,Burkina Faso,1921,28.1
544,Burkina Faso,1923,28.1
545,Burkina Faso,1929,28.1
546,Burkina Faso,1939,28.1
547,Burkina Faso,1945,28.1
548,Burkina Faso,1946,28.1
549,Burkina Faso,1948,28.1
550,Burkina Faso,1960,28.1
551,Burkina Faso,1968,28.1
552,Burkina Faso,1982,28.1
553,Burkina Faso,1992,28.1
554,Chad,1941,28.1
555,Chad,2006,28.1
556,Curaçao,1942,28.1
557,Curaçao,1969,28.1
558,Curaçao,1983,28.1
559,Curaçao,1997,28.1
560,Curaçao,2012,28.1
561,Côte D'Ivoire,2013,28.1
562,Djibouti,1887,28.1
563,Djibouti,1916,28.1
564,Djibouti,1922,28.1
565,Djibouti,2013,28.1
566,Eritrea,2009,28.1
567,Gambia,1926,28.1
568,Gambia,1977,28.1
569,Gambia,1979,28.1
570,Gambia,1980,28.1
571,Gambia,1981,28.1
572,Gambia,1990,28.1
573,Gambia,2000,28.1
574,Grenada,2010,28.1
575,Kingman Reef,2003,28.1
576,Kingman Reef,2006,28.1
577,Mali,1893,28.1
578,Mali,1901,28.1
579,Mali,1917,28.1
580,Mali,1943,28.1
581,Mali,1952,28.1
582,Mali,1974,28.1
583,Mauritania,1945,28.1
584,Mauritania,1955,28.1
585,Mauritania,1969,28.1
586,Mauritania,1977,28.1
587,Mayotte,2013,28.1
588,Niger,1914,28.1
589,Niger,1996,28.1
590,Niger,1997,28.1
591,Niger,2001,28.1
592,Niger,2012,28.1
593,Oman,1999,28.1
594,Oman,2001,28.1
595,Oman,2004,28.1
596,Oman,2005,28.1
597,Palmyra Atoll,2004,28.1
598,Palmyra Atoll,2006,28.1
599,Qatar,2004,28.1
600,Qatar,2006,28.1
601,Qatar,2009,28.1
602,Saint Vincent And The Grenadines,2010,28.1
603,Senegal,1913,28.1
604,Senegal,1915,28.1
605,Senegal,1938,28.1
606,Senegal,1947,28.1
607,Senegal,1949,28.1
608,Senegal,1999,28.1
609,Togo,2010,28.1
610,United Arab Emirates,1885,28.1
611,United Arab Emirates,1924,28.1
612,United Arab Emirates,1978,28.1
613,United Arab Emirates,1979,28.1
614,United Arab Emirates,1981,28.1
615,United Arab Emirates,1987,28.1
616,United Arab Emirates,1988,28.1
617,United Arab Emirates,1993,28.1
618,United Arab Emirates,1997,28.1
619,Aruba,1900,28.0
620,Aruba,1928,28.0
621,Aruba,1934,28.0
622,Aruba,1937,28.0
623,Aruba,1943,28.0
624,Aruba,1944,28.0
625,Aruba,1957,28.0
626,Aruba,1965,28.0
627,Aruba,1967,28.0
628,Aruba,1986,28.0
629,Benin,1941,28.0
630,Benin,2003,28.0
631,"Bonaire, Saint Eustatius And Saba",1958,28.0
632,"Bonaire, Saint Eustatius And Saba",1995,28.0
633,"Bonaire, Saint Eustatius And Saba",2012,28.0
634,Burkina Faso,1899,28.0
635,Burkina Faso,1900,28.0
636,Burkina Faso,1917,28.0
637,Burkina Faso,1928,28.0
638,Burkina Faso,1934,28.0
639,Burkina Faso,1936,28.0
640,Burkina Faso,1943,28.0
641,Burkina Faso,1952,28.0
642,Burkina Faso,1953,28.0
643,Burkina Faso,1956,28.0
644,Burkina Faso,1957,28.0
645,Burkina Faso,1962,28.0
646,Burkina Faso,1964,28.0
647,Burkina Faso,1974,28.0
648,Burkina Faso,1994,28.0
649,Cambodia,1998,28.0
650,Chad,1931,28.0
651,Chad,2004,28.0
652,Curaçao,1940,28.0
653,Curaçao,1941,28.0
654,Curaçao,1952,28.0
655,Curaçao,1980,28.0
656,Curaçao,1981,28.0
657,Curaçao,1993,28.0
658,Curaçao,1996,28.0
659,Curaçao,2001,28.0
660,Curaçao,2011,28.0
661,Djibouti,1917,28.0
662,Djibouti,1918,28.0
663,Eritrea,2010,28.0
664,Federated States Of Micronesia,2013,28.0
665,Gambia,1897,28.0
666,Gambia,1945,28.0
667,Gambia,1973,28.0
668,Gambia,1988,28.0
669,Gambia,1991,28.0
670,Gambia,1992,28.0
671,Gambia,2009,28.0
672,Gambia,2013,28.0
673,Grenada,1998,28.0
674,Guinea Bissau,1998,28.0
675,Guinea Bissau,2005,28.0
676,Kingman Reef,2002,28.0
677,Kingman Reef,2004,28.0
678,Kingman Reef,2009,28.0
679,Mali,1892,28.0
680,Mali,1898,28.0
681,Mali,1905,28.0
682,Mali,1906,28.0
683,Mali,1908,28.0
684,Mali,1916,28.0
685,Mali,1934,28.0
686,Mali,1954,28.0
687,Mauritania,1941,28.0
688,Mauritania,1958,28.0
689,Mauritania,1961,28.0
690,Mauritania,1966,28.0
691,Mauritania,1978,28.0
692,Mauritania,1988,28.0
693,Mauritania,1991,28.0
694,Mauritania,2012,28.0
695,Niger,1930,28.0
696,Niger,1990,28.0
697,Niger,2000,28.0
698,Nigeria,2010,28.0
699,Oman,2002,28.0
700,Oman,2006,28.0
701,Palau,1998,28.0
702,Palmyra Atoll,2002,28.0
703,Palmyra Atoll,2009,28.0
704,Qatar,2000,28.0
705,Qatar,2005,28.0
706,Saint Lucia,2010,28.0
